,Age,Sex,Race,Marital status?,Education,Employement,Incomes,How many books did you read during last 12months?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,"Last book you read, you…",Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?
718,56,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes
719,55,Female,White,Married,College graduate,Employed full-time,Refused,20,Yes,Yes,No,Borrowed the book from a library,No,Yes
720,55,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",20,No,Yes,No,Purchased the book,No,No
721,55,Female,White,Divorced,High school graduate,Employed full-time,"Less than $10,000",20,Yes,No,No,Purchased the book,Yes,No
722,55,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes
723,54,Male,White,Living with a partner,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",20,Yes,No,No,Got the book some other way,No,No
724,54,Male,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,No,Purchased the book,Yes,Yes
725,54,Male,White,Divorced,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,No,Purchased the book,Yes,Yes
726,54,Male,White,Married,High school graduate,Employed part-time,"$30,000 to under $40,000",20,Yes,No,Yes,Got the book some other way,Yes,No
728,53,Female,White,Divorced,High school graduate,Employed part-time,"$10,000 to under $20,000",20,No,No,Yes,Purchased the book,Yes,No
729,53,Female,White,Married,College graduate,Not employed for pay,Refused,20,Yes,Yes,Yes,Purchased the book,No,Yes
730,52,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",20,Yes,No,No,Purchased the book,Yes,Yes
731,52,Female,White,Divorced,"Some college, no 4-year degree",Employed full-time,"$20,000 to under $30,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
732,50,Male,White,Never been married,College graduate,Employed full-time,"9$100,000 to under $150,000",20,Yes,Yes,Yes,Purchased the book,No,Yes
733,49,Female,White,Living with a partner,High school graduate,Employed full-time,"$30,000 to under $40,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
735,48,Female,White,Living with a partner,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,Yes,Yes
736,48,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",20,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes
739,47,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,No,Yes
743,44,Male,White,Married,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",20,Yes,Yes,Yes,Got the book some other way,Yes,Yes
744,44,Male,White,Married,College graduate,Not employed for pay,"$50,000 to under $75,000",20,Yes,No,No,Got the book some other way,No,No
745,43,Female,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,Yes,Purchased the book,No,Yes
747,42,Female,White,Married,High school graduate,Employed full-time,"$40,000 to under $50,000",20,No,Yes,No,Borrowed the book from a library,Yes,No
748,42,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,Yes,No,Borrowed the book from a library,No,No
750,42,Female,White,Married,High school graduate,Employed full-time,"$50,000 to under $75,000",20,Yes,No,No,Borrowed the book from a friend or family member,No,No
753,40,Male,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,Yes,No,Purchased the book,Yes,Yes
755,39,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",20,Yes,No,No,Purchased the book,Yes,Yes
756,38,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$30,000 to under $40,000",20,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
758,38,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",20,Yes,Yes,No,Purchased the book,Yes,No
759,37,Female,White,Married,College graduate,Not employed for pay,"$50,000 to under $75,000",20,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
760,35,Male,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,Yes,No,8,Yes,No
761,34,Male,White,Never been married,"Some college, no 4-year degree",Student,"$50,000 to under $75,000",20,Yes,No,Yes,Purchased the book,Yes,No
762,34,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",20,Yes,No,Yes,Got the book some other way,Yes,No
764,33,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",20,Yes,Yes,Yes,Purchased the book,Yes,Yes
766,33,Male,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,No,Purchased the book,No,Yes
767,33,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"$50,000 to under $75,000",20,Yes,No,Yes,Purchased the book,No,Yes
770,32,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",20,Yes,No,Yes,Purchased the book,Yes,No
772,31,Female,White,Married,"Some college, no 4-year degree",Other,"$75,000 to under $100,000",20,No,No,Yes,Purchased the book,Yes,Yes
773,30,Male,White,Never been married,College graduate,Employed full-time,"$100,000 to under $150,000",20,No,No,No,Purchased the book,No,No
775,26,Female,White,Married,College graduate,Employed full-time,"$40,000 to under $50,000",20,Yes,No,Yes,Purchased the book,No,No
776,26,Female,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,Yes,Purchased the book,No,Yes
777,26,Female,White,Married,High school graduate,Employed full-time,"$30,000 to under $40,000",20,Yes,No,Yes,Got the book some other way,Yes,No
778,26,Male,White,Living with a partner,High school graduate,Not employed for pay,"$30,000 to under $40,000",20,Yes,No,Yes,Purchased the book,Yes,Yes
779,25,Male,White,Never been married,College graduate,Employed full-time,"$50,000 to under $75,000",20,Yes,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes
780,24,Female,White,Married,College graduate,Not employed for pay,"$40,000 to under $50,000",20,Yes,No,No,Purchased the book,No,Yes
781,24,Male,White,Never been married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,No,Got the book some other way,Yes,Yes
782,24,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",20,Yes,Yes,No,Purchased the book,No,No
783,24,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"9$100,000 to under $150,000",20,Yes,No,No,Purchased the book,No,Yes
784,23,Male,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$10,000 to under $20,000",20,Yes,No,No,Purchased the book,Yes,No
785,23,Female,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"$100,000 to under $150,000",20,Yes,No,Yes,Purchased the book,No,No
788,21,Female,White,Single,"Some college, no 4-year degree",Not employed for pay,"9$100,000 to under $150,000",20,Yes,No,No,Purchased the book,No,Yes
789,21,Male,White,Never been married,College graduate,Employed full-time,"$75,000 to under $100,000",20,Yes,No,Yes,Purchased the book,Yes,Yes
790,20,Female,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",20,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
791,19,Female,White,Never been married,"Some college, no 4-year degree",Employed part-time,"$30,000 to under $40,000",20,Yes,No,Yes,Borrowed the book from a library,No,No
792,18,Female,White,Never been married,High school graduate,Employed full-time,"$10,000 to under $20,000",20,Yes,No,No,Purchased the book,No,No
793,17,Female,White,Never been married,High school incomplete,Not employed for pay,"$10,000 to under $20,000",20,Yes,No,No,Borrowed the book from a library,No,No
794,17,Male,White,Never been married,High school incomplete,Not employed for pay,"$30,000 to under $40,000",20,Yes,No,Yes,Borrowed the book from a library,No,Yes
795,17,Female,White,Never been married,High school incomplete,Not employed for pay,"$100,000 to under $150,000",20,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
796,16,Male,White,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",20,Yes,No,No,Borrowed the book from a library,Yes,No
797,16,Female,White,Never been married,High school incomplete,Not employed for pay,"$50,000 to under $75,000",20,Yes,No,Yes,Purchased the book,Yes,Don’t know
798,16,Female,White,Never been married,High school incomplete,Student,"$20,000 to under $30,000",20,Yes,No,No,Borrowed the book from a library,Yes,Yes
799,16,Male,White,Never been married,High school incomplete,Employed part-time,"$20,000 to under $30,000",20,Yes,No,No,Purchased the book,No,No
800,16,Female,White,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",20,Yes,No,No,Purchased the book,No,No
801,16,Male,White,Never been married,High school incomplete,Employed part-time,"$10,000 to under $20,000",20,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
802,16,Female,White,Never been married,High school incomplete,Not employed for pay,"$50,000 to under $75,000",20,Yes,Yes,No,Purchased the book,No,Yes
803,16,Male,White,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",20,Yes,No,Yes,Got the book some other way,Yes,Yes
804,18,Female,White,Never been married,High school graduate,Employed part-time,"9$100,000 to under $150,000",19,Yes,No,No,Purchased the book,Yes,No
805,76,Male,White,Married,"Some college, no 4-year degree",Employed part-time,"$75,000 to under $100,000",18,Yes,Yes,Yes,Purchased the book,Yes,No
806,72,Female,White,Widowed,College graduate,Retired,"$30,000 to under $40,000",18,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
809,61,Female,White,Married,College graduate,Employed part-time,"$100,000 to under $150,000",18,Yes,No,No,Purchased the book,Yes,Yes
812,51,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",18,Yes,Yes,Yes,Purchased the book,Yes,Yes
813,50,Male,White,Married,High school graduate,Employed full-time,"$50,000 to under $75,000",18,Yes,No,Yes,Purchased the book,Yes,Yes
814,31,Female,White,Married,High school graduate,Not employed for pay,"Less than $10,000",18,Yes,No,No,Purchased the book,No,Yes
815,59,Male,Refused,Married,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",17,Yes,No,No,Purchased the book,Don’t know,Don’t know
816,60,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",17,Yes,Yes,No,Borrowed the book from a friend or family member,No,No
817,43,Female,White,Widowed,College graduate,Employed full-time,"$40,000 to under $50,000",17,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
819,25,Male,White,Never been married,College graduate,Employed full-time,"$50,000 to under $75,000",17,Yes,No,Yes,Got the book some other way,No,Yes
820,17,Male,White,Never been married,High school graduate,Not employed for pay,"$20,000 to under $30,000",17,Yes,No,Yes,Borrowed the book from a library,No,No
822,50,Male,Black or African-American,Single,High school graduate,Not employed for pay,"Less than $10,000",16,Yes,No,No,Purchased the book,Yes,Yes
824,79,Female,White,Widowed,High school incomplete,Not employed for pay,"$30,000 to under $40,000",16,Yes,No,No,Purchased the book,Yes,Yes
825,78,Female,White,Widowed,High school graduate,Retired,"$20,000 to under $30,000",16,Yes,No,No,Got the book some other way,No,Yes
827,67,Male,White,Single,"Some college, no 4-year degree",Retired,"$10,000 to under $20,000",16,Yes,No,No,Purchased the book,Yes,No
831,22,Male,White,Never been married,High school incomplete,Employed full-time,"Less than $10,000",16,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
833,29,Female,Don’t know,Married,College graduate,Employed full-time,"$50,000 to under $75,000",15,Yes,Yes,No,Borrowed the book from a library,Yes,Yes
834,65,Female,Other,Married,High school incomplete,Employed part-time,Refused,15,Yes,No,No,Purchased the book,Yes,Yes
836,36,Female,Other,Married,College graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,Yes,Yes,Purchased the book,Yes,No
837,62,Male,Native American/American Indian,Divorced,College graduate,Retired,"$40,000 to under $50,000",15,Yes,Yes,No,9,No,No
838,69,Male,Mixed race,Married,College graduate,Retired,"Less than $10,000",15,Yes,No,No,Purchased the book,Yes,No
839,38,Female,Mixed race,Married,College graduate,Not employed for pay,"$100,000 to under $150,000",15,Yes,No,No,Purchased the book,No,Yes
840,57,Male,Asian or Pacific Islander,Married,College graduate,Not employed for pay,"$100,000 to under $150,000",15,Yes,No,No,Purchased the book,No,Yes
843,30,Female,Asian or Pacific Islander,Never been married,"Some college, no 4-year degree",Employed full-time,"9$100,000 to under $150,000",15,Yes,No,No,Got the book some other way,No,Yes
844,26,Female,Asian or Pacific Islander,Married,"Some college, no 4-year degree",Student,"$30,000 to under $40,000",15,Yes,No,Yes,Purchased the book,Yes,No
845,59,Female,Black or African-American,Don’t know,College graduate,Retired,Refused,15,Yes,No,No,Purchased the book,No,Yes
846,59,Male,Black or African-American,Married,High school graduate,Retired,"$20,000 to under $30,000",15,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
847,51,Female,Black or African-American,Widowed,High school graduate,Employed part-time,"$20,000 to under $30,000",15,Yes,No,Yes,Purchased the book,Yes,Yes
848,40,Male,Black or African-American,Married,College graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,Yes,Yes
849,37,Male,Black or African-American,Living with a partner,College graduate,Employed full-time,"$75,000 to under $100,000",15,Yes,No,Yes,Purchased the book,Yes,Yes
850,32,Female,Black or African-American,Never been married,College graduate,Employed part-time,"$10,000 to under $20,000",15,Yes,No,Yes,Purchased the book,No,Yes
851,29,Female,Black or African-American,Widowed,"Some college, no 4-year degree",Not employed for pay,"$20,000 to under $30,000",15,Yes,No,No,Borrowed the book from a library,No,Yes
852,24,Female,Black or African-American,Single,College graduate,Employed full-time,"Less than $10,000",15,Yes,No,No,Borrowed the book from a library,Yes,Yes
853,81,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$20,000 to under $30,000",15,Yes,No,No,Borrowed the book from a library,Yes,Yes
854,81,Male,White,Married,College graduate,Retired,"$20,000 to under $30,000",15,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
856,78,Male,White,Widowed,"Some college, no 4-year degree",Have own business/self-employed,"$30,000 to under $40,000",15,Yes,Yes,Yes,Got the book some other way,Yes,Yes
857,77,Female,White,Never been married,High school graduate,Employed part-time,"$30,000 to under $40,000",15,Yes,No,No,Got the book some other way,Yes,Yes
858,75,Male,White,Married,High school graduate,Retired,"$10,000 to under $20,000",15,Yes,No,No,Borrowed the book from a library,Yes,Yes
860,71,Male,White,Widowed,High school incomplete,Retired,"Less than $10,000",15,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
863,68,Female,White,Married,College graduate,Retired,"$50,000 to under $75,000",15,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes
864,68,Female,White,Divorced,"Some college, no 4-year degree",Employed full-time,Refused,15,Yes,No,No,Got the book some other way,Yes,Yes
867,66,Female,White,Divorced,"Some college, no 4-year degree",Employed full-time,Refused,15,Yes,No,No,Borrowed the book from a friend or family member,No,No
868,66,Male,White,Married,"Some college, no 4-year degree",Retired,"$40,000 to under $50,000",15,Yes,No,Yes,Got the book some other way,Yes,No
869,65,Female,White,Married,College graduate,Employed part-time,"$20,000 to under $30,000",15,Yes,No,No,Purchased the book,Yes,Yes
870,65,Male,White,Married,High school graduate,Retired,"$20,000 to under $30,000",15,Yes,No,No,Purchased the book,No,Yes
872,65,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,Yes,No,Purchased the book,Yes,Yes
873,64,Male,White,Married,College graduate,Retired,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,Yes,No
874,64,Male,White,Divorced,High school graduate,Retired,"$20,000 to under $30,000",15,Yes,No,No,Borrowed the book from a friend or family member,No,Yes
875,63,Female,White,Married,College graduate,Disabled,"$40,000 to under $50,000",15,Yes,No,No,Purchased the book,Yes,No
876,62,Female,White,Never been married,"Some college, no 4-year degree",Retired,"$30,000 to under $40,000",15,Yes,No,No,Purchased the book,Yes,Yes
878,61,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,No,No,Purchased the book,Yes,No
879,61,Male,White,Married,High school graduate,Employed full-time,Refused,15,Yes,No,No,Got the book some other way,Yes,Yes
880,60,Female,White,Married,College graduate,Employed full-time,"$50,000 to under $75,000",15,Yes,Yes,No,Purchased the book,No,Yes
881,60,Female,White,Married,College graduate,Employed part-time,"$100,000 to under $150,000",15,Yes,Yes,No,Purchased the book,Yes,Yes
884,56,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",15,Yes,No,Yes,Purchased the book,Yes,No
885,56,Female,White,Married,College graduate,Retired,"$100,000 to under $150,000",15,Yes,No,No,Purchased the book,Yes,Yes
886,55,Male,White,Married,High school graduate,Retired,"$10,000 to under $20,000",15,No,Yes,Yes,Got the book some other way,Yes,No
887,55,Female,White,Married,High school graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,Yes,Yes
888,54,Male,White,Never been married,College graduate,Employed full-time,"$30,000 to under $40,000",15,Yes,No,No,Purchased the book,Yes,Yes
890,54,Female,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",15,Yes,No,Yes,Purchased the book,No,Yes
891,52,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,Yes,Yes
892,51,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",15,Yes,No,Yes,Got the book some other way,No,Yes
893,51,Male,White,Divorced,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",15,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
894,50,Male,White,Living with a partner,High school graduate,Employed full-time,"$50,000 to under $75,000",15,Yes,No,No,Purchased the book,No,No
895,50,Female,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",15,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes
897,50,Male,White,Married,"Some college, no 4-year degree",Have own business/self-employed,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,Yes,Yes
898,49,Male,White,Married,High school graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,No,No,Purchased the book,Yes,No
899,48,Female,White,Married,College graduate,Retired,"$75,000 to under $100,000",15,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,Yes
900,47,Female,White,Married,College graduate,Employed full-time,"$40,000 to under $50,000",15,Yes,No,No,Got the book some other way,No,Yes
901,47,Male,White,Divorced,College graduate,Have own business/self-employed,"$30,000 to under $40,000",15,Yes,No,No,Got the book some other way,Yes,No
904,44,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,No,No
905,43,Male,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",15,Yes,No,No,Purchased the book,Yes,Yes
906,43,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,No,No
908,42,Female,White,Married,College graduate,Employed part-time,"$30,000 to under $40,000",15,No,No,No,Got the book some other way,No,No
909,40,Male,White,Married,High school graduate,Not employed for pay,"$40,000 to under $50,000",15,Yes,No,No,Purchased the book,Yes,No
911,39,Male,White,Married,College graduate,Have own business/self-employed,"$30,000 to under $40,000",15,Yes,Yes,Yes,Purchased the book,No,No
912,39,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",15,Yes,Yes,Yes,Borrowed the book from a library,No,Yes
913,39,Male,White,Divorced,"Some college, no 4-year degree",Employed full-time,"$75,000 to under $100,000",15,Yes,No,No,Got the book some other way,Yes,Yes
916,35,Female,White,Married,College graduate,Employed full-time,"$50,000 to under $75,000",15,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
918,32,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",15,Yes,No,Yes,Purchased the book,Yes,Yes
919,32,Male,White,Married,High school graduate,Employed full-time,"$75,000 to under $100,000",15,Yes,Yes,Yes,Purchased the book,No,Yes
920,31,Female,White,Married,College graduate,Employed full-time,"$50,000 to under $75,000",15,Yes,No,Yes,Purchased the book,Yes,No
922,30,Female,White,Married,College graduate,Not employed for pay,"$50,000 to under $75,000",15,Yes,No,No,Purchased the book,Yes,No
923,27,Female,White,Never been married,College graduate,Employed full-time,"$20,000 to under $30,000",15,Yes,No,No,Borrowed the book from a friend or family member,No,No
924,24,Male,White,Never been married,College graduate,Employed full-time,"$50,000 to under $75,000",15,Yes,No,No,Borrowed the book from a friend or family member,Yes,No
925,23,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",15,Yes,No,Yes,Purchased the book,Yes,Yes
926,23,Female,White,Never been married,College graduate,Not employed for pay,"$30,000 to under $40,000",15,Yes,No,No,Purchased the book,No,No
927,22,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"$20,000 to under $30,000",15,Yes,No,No,Borrowed the book from a friend or family member,No,No
928,22,Male,White,Single,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",15,Yes,Yes,Yes,Purchased the book,Yes,Yes
929,18,Female,White,Never been married,High school incomplete,Not employed for pay,"$30,000 to under $40,000",15,Yes,No,No,Borrowed the book from a library,No,No
930,17,Female,White,Never been married,High school incomplete,Employed part-time,"9$100,000 to under $150,000",15,Yes,No,No,Purchased the book,No,Yes
931,17,Male,White,Never been married,High school incomplete,Employed part-time,"9$100,000 to under $150,000",15,Yes,No,No,Borrowed the book from a library,No,Yes
932,17,Male,White,Never been married,High school incomplete,Not employed for pay,"$30,000 to under $40,000",15,Yes,No,No,Borrowed the book from a friend or family member,No,No
933,17,Male,White,Never been married,High school incomplete,Not employed for pay,"$20,000 to under $30,000",15,Yes,No,No,Borrowed the book from a library,Yes,Yes
934,16,Female,White,Never been married,High school incomplete,Not employed for pay,"$75,000 to under $100,000",15,Yes,No,No,Got the book some other way,No,Yes
935,52,Female,Refused,Widowed,"Some college, no 4-year degree",Not employed for pay,Refused,14,Yes,No,No,Purchased the book,No,No
936,16,Male,Asian or Pacific Islander,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",14,Yes,No,Yes,Borrowed the book from a library,Yes,No
940,53,Male,White,Married,"Some college, no 4-year degree",Retired,"9$100,000 to under $150,000",14,Yes,No,No,Got the book some other way,No,Yes
941,52,Male,White,Never been married,College graduate,Not employed for pay,"$40,000 to under $50,000",14,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
942,52,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"$20,000 to under $30,000",14,Yes,No,Yes,Purchased the book,Yes,Yes
943,16,Female,White,Never been married,High school incomplete,Not employed for pay,"9$100,000 to under $150,000",14,Yes,No,No,Borrowed the book from a library,No,Yes
944,47,Female,Black or African-American,Living with a partner,High school graduate,Employed full-time,"$40,000 to under $50,000",13,Yes,No,No,Purchased the book,No,Yes
945,24,Male,Black or African-American,Single,High school graduate,Employed full-time,"$10,000 to under $20,000",13,No,Yes,No,Borrowed the book from a friend or family member,No,Yes
946,21,Female,Black or African-American,Never been married,"Some college, no 4-year degree",Not employed for pay,"$30,000 to under $40,000",13,Yes,No,No,Purchased the book,No,Yes
948,52,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$100,000 to under $150,000",13,Yes,Yes,No,Purchased the book,Yes,Yes
949,50,Female,White,Widowed,College graduate,Retired,"$75,000 to under $100,000",13,Yes,No,No,Purchased the book,No,Yes
950,42,Female,White,Separated,College graduate,Employed full-time,"$40,000 to under $50,000",13,Yes,No,Yes,Purchased the book,No,Yes
951,34,Female,White,Divorced,High school graduate,Employed full-time,"$30,000 to under $40,000",13,Yes,No,Yes,Purchased the book,Yes,No
953,22,Female,White,Married,"Some college, no 4-year degree",Employed full-time,"$10,000 to under $20,000",13,Yes,No,No,Purchased the book,Yes,No
954,17,Male,White,Never been married,High school incomplete,Employed part-time,"$100,000 to under $150,000",13,Yes,No,No,Borrowed the book from a library,No,Yes
955,16,Female,White,Never been married,High school incomplete,Not employed for pay,"$20,000 to under $30,000",13,Yes,No,Yes,Purchased the book,No,Yes
957,76,Male,Refused,Married,"Some college, no 4-year degree",Employed part-time,"$40,000 to under $50,000",12,Yes,No,Yes,Borrowed the book from a friend or family member,Yes,No
958,63,Male,Other,Married,College graduate,Employed full-time,"$100,000 to under $150,000",12,Yes,No,No,Purchased the book,Yes,Yes
959,23,Male,Other,Married,High school graduate,Employed full-time,"$50,000 to under $75,000",12,Yes,No,Yes,Borrowed the book from a friend or family member,No,Yes
960,17,Female,Other,Never been married,High school incomplete,Employed part-time,"$100,000 to under $150,000",12,Yes,No,Yes,Purchased the book,Yes,Yes
962,52,Male,Native American/American Indian,Married,"Some college, no 4-year degree",Employed full-time,"$10,000 to under $20,000",12,Yes,No,No,Borrowed the book from a friend or family member,No,No
963,41,Male,Native American/American Indian,Divorced,High school graduate,Not employed for pay,"$10,000 to under $20,000",12,Yes,No,No,Purchased the book,Yes,No
964,47,Female,Mixed race,Married,"Some college, no 4-year degree",Employed full-time,"$40,000 to under $50,000",12,Yes,Yes,No,Purchased the book,Yes,Yes
965,44,Female,Mixed race,Divorced,College graduate,Employed full-time,"$75,000 to under $100,000",12,Yes,No,No,Purchased the book,No,Yes
966,39,Male,Mixed race,Married,High school graduate,Employed full-time,"$50,000 to under $75,000",12,No,Yes,Yes,Purchased the book,No,Yes
967,27,Male,Mixed race,Married,"Some college, no 4-year degree",Not employed for pay,"$10,000 to under $20,000",12,Yes,No,No,Purchased the book,No,No
968,17,Male,Mixed race,Never been married,High school incomplete,Not employed for pay,"$50,000 to under $75,000",12,Yes,No,No,Got the book some other way,No,No
969,18,Female,Asian or Pacific Islander,Never been married,High school incomplete,Not employed for pay,"$75,000 to under $100,000",12,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
970,78,Female,Black or African-American,Widowed,College graduate,Retired,"$40,000 to under $50,000",12,Yes,No,No,Borrowed the book from a library,Yes,No
971,75,Male,Black or African-American,Widowed,"Some college, no 4-year degree",Retired,"$30,000 to under $40,000",12,Yes,Yes,Yes,Borrowed the book from a library,Yes,No
975,59,Female,Black or African-American,Divorced,High school graduate,Retired,"Less than $10,000",12,Yes,No,No,Purchased the book,Yes,Yes
976,58,Female,Black or African-American,Divorced,High school graduate,Retired,"$30,000 to under $40,000",12,Yes,No,No,Purchased the book,Yes,Yes
977,56,Female,Black or African-American,Divorced,High school graduate,Employed full-time,"$40,000 to under $50,000",12,Yes,Yes,No,Borrowed the book from a friend or family member,Yes,Yes
978,49,Female,Black or African-American,Separated,College graduate,Employed full-time,"$100,000 to under $150,000",12,Yes,No,No,Purchased the book,Yes,Yes
979,43,Male,Black or African-American,Divorced,College graduate,Employed full-time,"$75,000 to under $100,000",12,Yes,No,No,Purchased the book,No,Yes
980,42,Female,Black or African-American,Separated,High school graduate,Employed full-time,"$10,000 to under $20,000",12,Yes,No,No,Borrowed the book from a library,Yes,No
981,41,Male,Black or African-American,Never been married,High school incomplete,Not employed for pay,"Less than $10,000",12,No,No,No,Borrowed the book from a library,No,No
982,40,Female,Black or African-American,Single,"Some college, no 4-year degree",Employed full-time,Refused,12,Yes,No,No,Purchased the book,Yes,Yes
983,35,Female,Black or African-American,Never been married,College graduate,Employed full-time,"$30,000 to under $40,000",12,Yes,No,No,Purchased the book,Yes,No
986,18,Female,Black or African-American,Never been married,High school graduate,Not employed for pay,"$75,000 to under $100,000",12,Yes,No,Yes,Purchased the book,Yes,No
988,87,Female,White,Married,College graduate,Retired,Refused,12,No,No,Yes,Got the book some other way,Yes,Yes
989,86,Male,White,Married,High school graduate,Retired,"$10,000 to under $20,000",12,Yes,Yes,No,Borrowed the book from a library,Yes,No
990,83,Male,White,Married,College graduate,Retired,Refused,12,No,No,No,Purchased the book,Yes,No
993,80,Male,White,Married,"Some college, no 4-year degree",Retired,Refused,12,Yes,No,No,Purchased the book,Yes,Yes
996,78,Female,White,Widowed,High school graduate,Retired,"$20,000 to under $30,000",12,Don’t know,No,No,Borrowed the book from a library,Yes,Yes
